# higgs_mass,higgs_width,number_of_events
50.,-1.,10000
51.,-1.,10000
52.,-1.,10000
53.,-1.,10000
54.,-1.,10000
55.,-1.,10000
56.,-1.,10000
57.,-1.,10000
58.,-1.,10000
59.,-1.,10000
60.,-1.,10000
61.,-1.,10000
62.,-1.,10000
63.,-1.,10000
64.,-1.,10000
65.,-1.,10000
66.,-1.,10000
67.,-1.,10000
68.,-1.,10000
69.,-1.,10000
70.,-1.,10000
71.,-1.,10000
72.,-1.,10000
73.,-1.,10000
74.,-1.,10000
75.,-1.,10000
76.,-1.,10000
77.,-1.,10000
78.,-1.,10000
79.,-1.,10000
80.,-1.,10000
81.,-1.,10000
82.,-1.,10000
83.,-1.,10000
84.,-1.,10000
85.,-1.,10000
86.,-1.,10000
87.,-1.,10000
88.,-1.,10000
89.,-1.,10000
90.,-1.,10000
91.,-1.,10000
92.,-1.,10000
93.,-1.,10000
94.,-1.,10000
95.,-1.,10000
96.,-1.,10000
97.,-1.,10000
98.,-1.,10000
99.,-1.,10000
100.,-1.,10000
101.,-1.,10000
102.,-1.,10000
103.,-1.,10000
104.,-1.,10000
105.,-1.,10000
106.,-1.,10000
107.,-1.,10000
108.,-1.,10000
109.,-1.,10000
110.,-1.,10000
111.,-1.,10000
112.,-1.,10000
113.,-1.,10000
114.,-1.,10000
115.,-1.,10000
116.,-1.,10000
117.,-1.,10000
118.,-1.,10000
119.,-1.,10000
120.,-1.,10000
121.,-1.,10000
122.,-1.,10000
123.,-1.,10000
124.,-1.,10000
125.,-1.,10000
126.,-1.,10000
127.,-1.,10000
128.,-1.,10000
129.,-1.,10000
130.,-1.,10000
131.,-1.,10000
132.,-1.,10000
133.,-1.,10000
134.,-1.,10000
135.,-1.,10000
136.,-1.,10000
137.,-1.,10000
138.,-1.,10000
139.,-1.,10000
140.,-1.,10000
141.,-1.,10000
142.,-1.,10000
143.,-1.,10000
144.,-1.,10000
145.,-1.,10000
146.,-1.,10000
147.,-1.,10000
148.,-1.,10000
149.,-1.,10000
150.,-1.,10000
151.,-1.,10000
152.,-1.,10000
153.,-1.,10000
154.,-1.,10000
155.,-1.,10000
156.,-1.,10000
157.,-1.,10000
158.,-1.,10000
159.,-1.,10000
160.,-1.,10000
161.,-1.,10000
162.,-1.,10000
163.,-1.,10000
164.,-1.,10000
165.,-1.,10000
166.,-1.,10000
167.,-1.,10000
168.,-1.,10000
169.,-1.,10000
170.,-1.,10000
171.,-1.,10000
172.,-1.,10000
173.,-1.,10000
174.,-1.,10000
175.,-1.,10000
176.,-1.,10000
177.,-1.,10000
178.,-1.,10000
179.,-1.,10000
180.,-1.,10000
181.,-1.,10000
182.,-1.,10000
183.,-1.,10000
184.,-1.,10000
185.,-1.,10000
186.,-1.,10000
187.,-1.,10000
188.,-1.,10000
189.,-1.,10000
190.,-1.,10000
191.,-1.,10000
192.,-1.,10000
193.,-1.,10000
194.,-1.,10000
195.,-1.,10000
196.,-1.,10000
197.,-1.,10000
198.,-1.,10000
199.,-1.,10000
200.,-1.,10000
201.,-1.,10000
202.,-1.,10000
203.,-1.,10000
204.,-1.,10000
205.,-1.,10000
206.,-1.,10000
207.,-1.,10000
208.,-1.,10000
209.,-1.,10000
210.,-1.,10000
211.,-1.,10000
212.,-1.,10000
213.,-1.,10000
214.,-1.,10000
215.,-1.,10000
216.,-1.,10000
217.,-1.,10000
218.,-1.,10000
219.,-1.,10000
220.,-1.,10000
221.,-1.,10000
222.,-1.,10000
223.,-1.,10000
224.,-1.,10000
225.,-1.,10000
226.,-1.,10000
227.,-1.,10000
228.,-1.,10000
229.,-1.,10000
230.,-1.,10000
231.,-1.,10000
232.,-1.,10000
233.,-1.,10000
234.,-1.,10000
235.,-1.,10000
236.,-1.,10000
237.,-1.,10000
238.,-1.,10000
239.,-1.,10000
240.,-1.,10000
241.,-1.,10000
242.,-1.,10000
243.,-1.,10000
244.,-1.,10000
245.,-1.,10000
246.,-1.,10000
247.,-1.,10000
248.,-1.,10000
249.,-1.,10000
250.,-1.,50000
255.,-1.,50000
260.,-1.,50000
265.,-1.,50000
270.,-1.,50000
275.,-1.,50000
280.,-1.,50000
285.,-1.,50000
290.,-1.,50000
295.,-1.,50000
300.,-1.,50000
305.,-1.,50000
310.,-1.,50000
315.,-1.,50000
320.,-1.,50000
325.,-1.,50000
330.,-1.,50000
335.,-1.,50000
340.,-1.,50000
345.,-1.,50000
350.,-1.,50000
355.,-1.,50000
360.,-1.,50000
365.,-1.,50000
370.,-1.,50000
375.,-1.,50000
380.,-1.,50000
385.,-1.,50000
390.,-1.,50000
395.,-1.,50000
400.,-1.,50000
405.,-1.,50000
410.,-1.,50000
415.,-1.,50000
420.,-1.,50000
425.,-1.,50000
430.,-1.,50000
435.,-1.,50000
440.,-1.,50000
445.,-1.,50000
450.,-1.,50000
455.,-1.,50000
460.,-1.,50000
465.,-1.,50000
470.,-1.,50000
475.,-1.,50000
480.,-1.,50000
485.,-1.,50000
490.,-1.,50000
495.,-1.,50000
500.,-1.,50000
505.,-1.,50000
510.,-1.,50000
515.,-1.,50000
520.,-1.,50000
525.,-1.,50000
530.,-1.,50000
535.,-1.,50000
540.,-1.,50000
545.,-1.,50000
550.,-1.,50000
555.,-1.,50000
560.,-1.,50000
565.,-1.,50000
570.,-1.,50000
575.,-1.,50000
580.,-1.,50000
585.,-1.,50000
590.,-1.,50000
595.,-1.,50000
600.,-1.,50000
605.,-1.,50000
610.,-1.,50000
615.,-1.,50000
620.,-1.,50000
625.,-1.,50000
630.,-1.,50000
635.,-1.,50000
640.,-1.,50000
645.,-1.,50000
650.,-1.,50000
655.,-1.,50000
660.,-1.,50000
665.,-1.,50000
670.,-1.,50000
675.,-1.,50000
680.,-1.,50000
685.,-1.,50000
690.,-1.,50000
695.,-1.,50000
700.,-1.,50000
705.,-1.,50000
710.,-1.,50000
715.,-1.,50000
720.,-1.,50000
725.,-1.,50000
730.,-1.,50000
735.,-1.,50000
740.,-1.,50000
745.,-1.,50000
750.,-1.,50000
755.,-1.,50000
760.,-1.,50000
765.,-1.,50000
770.,-1.,50000
775.,-1.,50000
780.,-1.,50000
785.,-1.,50000
790.,-1.,50000
795.,-1.,50000
800.,-1.,50000
